t,dual_CO2_Liq,p_CO2_Liq,dual_Electricity,p_Electricity,comp_in_CO2_Liq,comp_in_Electricity,comp_out_CO2_Comp,wedge_0.07_p_el,store_volume,store_charge_Fuelusetotal,store_discharge,dual_storage_balance_lambda,dual_soc_max_mu,dual_terminal_soc_nu,comp_on,store_charge_on,store_discharge_on,any_activity,idle_but_priced
T0001,-144.6649521726875,144.6649521726875,-50.05,50.05,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.5035000000000003,,,,,,,True,False,False,True,False
T0002,-142.19985264655307,142.19985264655307,-43.187000000000005,43.187000000000005,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0230900000000007,,,,,,,True,False,False,True,False
T0003,-142.21170581344253,142.21170581344253,-43.22,43.22,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0254000000000003,,,,,,,True,False,False,True,False
T0004,-143.01628441442477,143.01628441442477,-45.46,45.46,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.1822000000000004,,,,,,,True,False,False,True,False
T0005,-140.94736801189902,140.94736801189902,-39.7,39.7,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7790000000000004,,,,,,,True,False,False,True,False
T0006,-140.94736801189902,140.94736801189902,-39.7,39.7,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.7790000000000004,,,,,,,True,False,False,True,False
T0007,-141.26704433103933,141.26704433103933,-40.59,40.59,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.8413000000000004,,,,,,,True,False,False,True,False
T0008,-142.2260732884601,142.2260732884601,-43.26,43.26,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.0282,,,,,,,True,False,False,True,False
T0009,-144.52486929126647,144.52486929126647,-49.66,49.66,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.4762,,,,,,,True,False,False,True,False
T0010,-151.84868968145744,151.84868968145744,-70.05,70.05,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.9035,,,,,,,True,False,False,True,False
T0011,-154.26960922191293,154.26960922191293,-76.79,76.79,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.375300000000001,,,,,,,True,False,False,True,False
T0012,-156.89526528136838,156.89526528136838,-84.1,84.1,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.8870000000000005,,,,,,,True,False,False,True,False
T0013,-160.71701363603395,160.71701363603395,-94.74,94.74,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.6318,,,,,,,True,False,False,True,False
T0014,-161.4569385994373,161.4569385994373,-96.8,96.8,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.776000000000001,,,,,,,True,False,False,True,False
T0015,-161.58983774334953,161.58983774334953,-97.17,97.17,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.801900000000001,,,,,,,True,False,False,True,False
T0016,-163.06250393264736,163.06250393264736,-101.27,101.27,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.088900000000001,,,,,,,True,False,False,True,False
T0017,-172.16070748750454,172.16070748750454,-126.6,126.6,1.6324583333333331,0.11427208333333333,1.6324583333333331,8.862,,,,,,,True,False,False,True,False
T0018,-180.55490476650226,180.55490476650226,-149.97,149.97,1.6324583333333331,0.11427208333333333,1.6324583333333331,10.497900000000001,,,,,,,True,False,False,True,False
T0019,-179.2474645399061,179.2474645399061,-146.33,146.33,1.6324583333333331,0.11427208333333333,1.6324583333333331,10.243100000000002,,,,,,,True,False,False,True,False
T0020,-177.0743839435032,177.0743839435032,-140.28,140.28,1.6324583333333331,0.11427208333333333,1.6324583333333331,9.819600000000001,,,,,,,True,False,False,True,False
T0021,-170.46534543543484,170.46534543543484,-121.88,121.88,1.6324583333333331,0.11427208333333333,1.6324583333333331,8.531600000000001,,,,,,,True,False,False,True,False
T0022,-163.54381434573497,163.54381434573497,-102.61,102.61,1.6324583333333331,0.11427208333333333,1.6324583333333331,7.1827000000000005,,,,,,,True,False,False,True,False
T0023,-160.85350464870064,160.85350464870064,-95.12,95.12,1.6324583333333331,0.11427208333333333,1.6324583333333331,6.658400000000001,,,,,,,True,False,False,True,False
T0024,-156.53967027468425,156.53967027468425,-83.11,83.11,1.6324583333333331,0.11427208333333333,1.6324583333333331,5.8177,,,,,,,True,False,False,True,False
T0025,-147.19003590702013,147.19003590702013,-57.08,57.08,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.9956,,,,,,,True,False,False,True,False
T0026,-145.5772868363013,145.5772868363013,-52.59,52.59,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.6813000000000007,,,,,,,True,False,False,True,False
T0027,-144.2770303472139,144.2770303472139,-48.97,48.97,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.4279,,,,,,,True,False,False,True,False
T0028,-139.23763848481178,139.23763848481178,-34.94,34.94,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4458,,,,,,,True,False,False,True,False
T0029,-138.88922721563642,138.88922721563642,-33.97,33.97,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.3779000000000003,,,,,,,True,False,False,True,False
T0030,-138.88922721563642,138.88922721563642,-33.97,33.97,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.3779000000000003,,,,,,,True,False,False,True,False
T0031,-139.08677999712762,139.08677999712762,-34.52,34.52,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.4164000000000003,,,,,,,True,False,False,True,False
T0032,-141.70166045031988,141.70166045031988,-41.8,41.8,1.6324583333333331,0.11427208333333333,1.6324583333333331,2.926,,,,,,,True,False,False,True,False
T0033,-144.26984660970516,144.26984660970516,-48.95,48.95,1.6324583333333331,0.11427208333333333,1.6324583333333331,3.4265000000000003,,,,,,,True,False,False,True,False
T0034,-148.24245345205495,148.24245345205495,-60.01,60.01,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.2007,,,,,,,True,False,False,True,False
T0035,-151.863057156475,151.863057156475,-70.09,70.09,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.906300000000001,,,,,,,True,False,False,True,False
T0036,-150.48737142354554,150.48737142354554,-66.26,66.26,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.638200000000001,,,,,,,True,False,False,True,False
T0037,-149.86956999779133,149.86956999779133,-64.54,64.54,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.517800000000001,,,,,,,True,False,False,True,False
T0038,-148.36816885845843,148.36816885845843,-60.36,60.36,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.2252,,,,,,,True,False,False,True,False
T0039,-148.36816885845843,148.36816885845843,-60.36,60.36,1.6324583333333331,0.11427208333333333,1.6324583333333331,4.2252,,,,,,,True,False,False,True,False
